Cáparra	Point(-6.10097222 40.16658333)
Pedro Toro	Point(-6.465277777 40.609444444)
El Palmero	Point(-1.072391 37.66289)
Chavaler	Point(-2.471218 41.855163)
Nieva de Calderuela	Point(-2.222474 41.796454)
Langosto	Point(-2.615833333 41.885833333)
Oteruelos	Point(-2.602219 41.837889)
Pedrajas	Point(-2.576328 41.826748)
Derroñadas	Point(-2.636608 41.897119)
Toledillo	Point(-2.581968 41.806266)
Vilviestre de los Nabos	Point(-2.654142 41.879047)
Aldehuela del Rincón	Point(-2.582516 41.923813)
Molinos de Razón	Point(-2.60084 41.949163)
Arguijo	Point(-2.512141 41.98879)
Barriomartín	Point(-2.493827 41.997717)
Espejo de Tera	Point(-2.488494 41.884719)
Gallinero	Point(-2.445301 41.948928)
Matute de la Sierra	Point(-2.436863 41.901256)
Portelárbol	Point(-2.41266 41.898544)
San Andrés de Soria	Point(-2.479341 41.946152)
Segoviela	Point(-2.416388 41.9247)
Sepúlveda de la Sierra	Point(-2.452734 41.900636)
Ventosa de la Sierra	Point(-2.366272 41.93258)
Canos	Point(-2.317274 41.828513)
Cortos	Point(-2.259592 41.810994)
Cuellar de la Sierra	Point(-2.347114 41.908702)
Fuentelfresno	Point(-2.387424 41.900833)
Sauquillo de Alcázar	Point(-2.065323 41.608498)
Tardajos de Duero	Point(-2.418341 41.66857)
Boñices	Point(-2.3046 41.581321)
Izana	Point(-2.609045 41.672838)
Nomparedes	Point(-2.312416 41.552019)
Fuentegelmes	Point(-2.65863 41.363664)
Valdespina	Point(-2.441015 41.579923)
La Milana	Point(-2.478892 41.497847)
Valtueña	Point(-2.253562 41.414824)
Herrezuelo	Point(-5.481666666 40.7525)
Aralla de Luna	Point(-5.839166666 42.903055555)
Corbón del Sil	Point(-6.502252777 42.826363888)
Hiniestra	Point(-3.444097222 42.393305555)
La Aceña de la Borrega	Point(-7.227333333 39.322930555)
La Tabla	Point(-5.704361111 41.833222222)
Las Fuentes de San Pedro	Point(-2.305555555 42.034166666)
Ocejo de la Peña	Point(-5.084405555 42.864897222)
Pobladura de las Regueras	Point(-6.230555555 42.697222222)
San Julián de Valmuza	Point(-5.778991666 40.909113888)
Sancho Abarca	Point(-1.270567 41.985491)
Santibáñez del Río	Point(-5.721302777 40.977205555)
Santibáñez de Rueda	Point(-5.170333333 42.718238888)
Pedro Álvaro	Point(-6.436111111 40.890833333)
Valdeiglesias	Point(-5.931111111 42.467777777)
Ertzillako	Point(-2.64836944 43.18214722)
O Barral	Point(-7.4975 43.407222222)
Ribeira do Freixo	Point(-8.945833333 42.793805555)
Albaredos	Point(-7.039722222 42.595)
Cruceiro de Roo	Point(-8.926416666 42.820277777)
Xestoso	Point(-8.791111111 42.765277777)
Lacabezonada	Point(0.3024317 42.4338276)
Calachoa	Point(0.644166666 42.2325)
Inogés	Point(-1.463386 41.380005)
Gabasa	Point(0.416211666 42.006761111)
La Escaleruela	Point(-0.76097 40.14231)
Llert	Point(0.464722222 42.435277777)
Nueros	Point(-1.12816 40.92721)
Pueyo	Point(0.4994 42.38546)
Riguala de Serraduy	Point(0.597222222 42.316666666)
San Vicente de Labuerda	Point(0.108128857 42.468389266)
Villalba Baja	Point(-1.0762 40.4231)
Villaplana	Point(0.602746009 42.466944906)
Viver de la Sierra	Point(-1.6396367 41.4748938)
Camaretas	Point(-2.498972 41.775792)
Porciones	Point(-6.317927777 40.8015)
Pinilla de la Valdería	Point(-6.086597222 42.192591666)
Amatos de Alba	Point(-5.486297222 40.848625)
Ortells	Point(-0.17617 40.691287)
Sigueruelo	Point(-3.636475 41.174869444)
Eguíllor	Point(-1.80972222 42.8475)
Cuarto de Doña María Luisa	Point(-6.324344444 40.706386111)
Cerezal de Puertas	Point(-6.255597222 41.08535)
Gascue	Point(-1.66627 42.93913)
La Higuera	Point(-4.081044444 41.016313888)
Ciudad de Huelva	Point(-6.94 37.266388888)
Alcocer de Planes	Point(-0.40244 38.79501)
El Grao de Murviedro	Point(-0.23889 39.64167)
Villafranca-Montes de Oca	Point(-3.30949 42.38781)
Pasajes San Juan	Point(-1.919722222 43.3275)
Peñacerrada	Point(-2.70796 42.64356)
Navas de Ríofrío	Point(-4.1346 40.86708)
Lasarte	Point(-2.02169 43.26774)
Arana	Point(-2.718333333 42.700833333)
La Manga del Mar Menor	Point(-0.71651 37.64129)
Lanciego	Point(-2.51343 42.56248)
Barco de Ávila	Point(-5.52063 40.3618)
ciudad de Galápagos	Point(-3.33537 40.69347)
Zabalza	Point(-1.7989 42.77864)
Urzainqui	Point(-0.94617 42.83029)
Sangüesa	Point(-1.28283 42.57483)
Enériz	Point(-1.72794 42.67095)
Melgosa de Villadiego	Point(-3.9475 42.551666666)
Rioparaíso	Point(-4.066388888 42.601666666)
Valdavido	Point(-6.424380555 42.239505555)
Vega de las Mercedes	Point(-16.30805556 28.50388889)
Villalbilla de Villadiego	Point(-4.000293 42.570748)
Villanueva de Puerta	Point(-3.963416666 42.593416666)
Menamayor	Point(-3.250186111 43.121961111)
El Peñón	Point(-3.203888888 37.597222222)
Barruelo de Villadiego	Point(-4.024527777 42.5485)
Gumiel	Point(-3.812777777 37.43)
Moral del Condado	Point(-5.397441666 42.629672222)
Mozuelos	Point(-3.755833333 42.686388888)
Seisón de la Vega	Point(-5.908611111 42.391111111)
Yéchar	Point(-1.443706604 38.073237925)
Caladrones	Point(0.5244351 42.0732904)
Caserio de la Mata Moral	Point(-5.316666666 42.503333333)
Tera	Point(-2.480508333 41.912477777)
Fontanos de Torío	Point(-5.54 42.755833333)
La Flecha de Torío	Point(-5.521111111 42.740833333)
Ruiforco de Torío	Point(-5.568055555 42.703055555)
Riosequino de Torío	Point(-5.568055555 42.703055555)
Purroy de la Solana	Point(0.4630994 42.0463926)
Ribera	Point(0.645813599 42.4946528)
Cubillas de Arbas	Point(-5.80444 42.9453)
Osonilla	Point(-2.67944 41.5853)
Onteruela	Point(-4.61 42.5294)
Tubilleja de Ebro	Point(-3.7156 42.851986111)
Hoz de Arreba	Point(-3.769238888 42.930441666)
Las Herrerías de Calvera	Point(0.5976794 42.3784533)
Morens	Point(0.6016197 42.3730525)
Bricia	Point(-4.8617872 43.4305384)
Pendilla de Arbas	Point(-5.703230555 43.025525)
Tonín de Arbas	Point(-5.686666666 43.004722222)
Viadangos de Arbas	Point(-5.743888888 42.953055555)
Barrio de la Tercia	Point(-5.636666666 42.953055555)
Camplongo de Arbas	Point(-5.687777777 42.986111111)
Fontún de la Tercia	Point(-5.645833333 42.941666666)
Golpejar de la Tercia	Point(-5.653333333 42.952777777)
Millaró de la Tercia	Point(-5.644722222 42.978333333)
San Martín de la Tercia	Point(-5.713055555 42.945277777)
Velilla de la Tercia	Point(-5.635833333 42.9475)
Ventosilla de la Tercia	Point(-5.661666666 42.940555555)
Pla de Na Tesa	Point(2.706944444 39.595555555)
Lindoso	Point(-7.0024 42.667163888)
Alejico	Point(-5.129841666 42.848094444)
Argenteiro	Point(-7.029566666 42.677861111)
Bargelas	Point(-7.015447222 42.676077777)
Caín de Valdeón	Point(-4.905594 43.213373)
Chandevillar	Point(-6.925 42.720555555)
Ransinde	Point(-6.966477777 42.689133333)
Samprón	Point(-6.960997222 42.678188888)
San Tirso	Point(-6.993988888 42.682925)
Sotogayoso	Point(-6.920486111 42.65045)
Villariños	Point(-6.913372222 42.7278)
Horcajuelo	Point(-4.916511111 40.768555555)
La Braña	Point(-6.964330555 42.706055555)
Cernada	Point(-7.034244444 42.696313888)
La Treita	Point(-7.019502777 42.671472222)
Las Lamas	Point(-6.989525 42.684169444)
Valbonilla	Point(-4.186436111 42.198036111)
Hinestrosa	Point(-4.160255555 42.273658333)
Vallunquera	Point(-4.109788888 42.240486111)
S'Horta	Point(3.20964 39.408)
Son Serra de Marina	Point(3.22772 39.7354)
Archilla	Point(-2.916616666 40.685211111)
Vegarienza	Point(-6.046080555 42.787877777)
Castilmimbre	Point(-2.781647222 40.720705555)
Torrealvilla	Point(-1.705242575 37.762990082)
Castañoso	Point(-6.9029 42.725972222)
El Castro	Point(-7.007036111 42.712997222)
Fuente de Oliva	Point(-6.948477777 42.736186111)
Laballos	Point(-6.989052777 42.703536111)
Lamagrande	Point(-6.910077777 42.684505555)
Pumarín	Point(-6.902880555 42.703286111)
Pumarín	Point(-6.903055555 42.703611111)
Quintela	Point(-6.928758333 42.688461111)
Ruideferros	Point(-6.938886111 42.726997222)
Villafeile	Point(-6.916719444 42.686047222)
Consuegra de Murera	Point(-3.780875 41.258480555)
Vellosillo	Point(-3.706447222 41.266972222)
Venta de Andar	Point(-3.630277777 37.454166666)
Moñón	Point(-6.935026 42.678501)
Ejeme	Point(-5.53828 40.76685)
La Vecilla de Curueño	Point(-5.405961111 42.848919444)
Torla	Point(-0.11209 42.62802)
Ciudad de Barbastro	Point(0.12556 42.04348)
O Empalme	Point(-8.83119444 42.44378333)
O Espiño	Point(-7.72956667 43.29580278)
O Pedrouzo	Point(-7.6503123 43.3573109)
A Carballa	Point(-9.004297 43.05865)
A Casanova	Point(-7.7218045 43.3359277)
A Casilla	Point(-7.648889 43.311389)
A Chaira	Point(-8.2860599 42.7161708)
A Corga	Point(-7.734031 42.132832)
Escoira	Point(-7.6245 43.2025)
A Esperela	Point(-8.29222222 43.34916667)
O Porto Bañal	Point(-7.6536495 43.385154)
O Quintán	Point(-8.30027778 43.37444444)
O Robledo da Lastra	Point(-6.904361111 42.485556111)
O Val	Point(-6.960011111 42.446)
O Valo	Point(-8.29472222 43.36083333)
Oa	Point(-8.5940974 43.0006489)
Orbazán	Point(-7.6126135 43.3334448)
Os Cabidos	Point(-8.29388889 43.33222222)
Os Carrís	Point(-7.6067843 43.3025118)
A Fontevella	Point(-7.672615 43.333425)
A Frouseira	Point(-7.657755 43.286303)
A Ladeira	Point(-7.746716 42.130623)
A Lagoa	Point(-8.27888889 43.35888889)
A Lamela	Point(-8.27916667 43.36611111)
A Lavandeira	Point(-7.719703 42.13351)
A Lodeira	Point(-7.0426947 43.5410915)
Osedo	Point(-8.28361111 43.34111111)
Outeiro	Point(-8.3121609 42.6881989)
Padroso	Point(-7.60616667 42.10438889)
Paradiña	Point(-7.57666667 42.12416667)
Paraños	Point(-7.6588984 43.3471468)
Pardeconde	Point(-7.64835 42.344836111)
Pardiñás	Point(-7.63527778 43.68444444)
Pastoriza	Point(-8.2775716 42.8048062)
Pedrouzo	Point(-7.5944643 43.3084478)
Penadrade	Point(-7.71852359 43.24533108)
Penavide	Point(-8.7550317 42.8012608)
Piñeiro	Point(-8.30111111 43.35861111)
Porrás	Point(-7.6648688 43.3966083)
Porto dos Troncos	Point(-7.5952053 43.403849)
Puxafeita	Point(-8.7581482 42.505941)
Quintán	Point(-8.2775 43.35444444)
Quintáns	Point(-8.9306848 43.0047878)
Rañadoiro	Point(-8.2997591 42.7026952)
Riovao	Point(-8.25611111 43.35361111)
Rouxique, Vilalonga, Sangenjo	Point(-8.84425 42.448)
Rupiallo	Point(-8.0770173 43.5381271)
Sada de Arriba	Point(-8.25833333 43.35722222)
Santo Adrao	Point(-7.6224553 43.3501842)
Villarrué	Point(0.590472222 42.479427777)
Vió	Point(0.054444444 42.5425)
Visalibóns	Point(0.568391 42.368331)
Víu	Point(0.343366725 42.454705788)
Yeba	Point(0.015966666 42.525769444)
Javierregay	Point(-0.735509 42.587788)
Cuarte	Point(-0.47079 42.11766)
Suárbol	Point(-6.851519444 42.867213888)
Villasumil	Point(-6.694833333 42.820063888)
La Lurda	Point(-5.42055556 40.84888889)
Mozodiel de Sanchiñigo	Point(-5.71222222 41.02638889)
Navagallega	Point(-5.79027778 40.69916667)
Turra de Alba	Point(-5.405277777 40.801111111)
Galleguillos	Point(-5.38277778 40.80861111)
Cascajosa	Point(-2.679444444 41.585277777)
Tejedo de Ancares	Point(-6.762922222 42.841697222)
Villarbón	Point(-6.709597222 42.780452777)
Espinareda de Ancares	Point(-6.723397222 42.832022222)
Sorbeira	Point(-6.715241666 42.810444444)
Pereda de Ancares	Point(-6.743030555 42.824277777)
Suertes	Point(-6.732108333 42.837041666)
Lumeras	Point(-6.670844444 42.7936)
La Jara	Point(0.06381389 38.82909444)
Teseguite	Point(-13.53125 29.055344)
Helecha de Valdivia	Point(-4.168333 42.796111)
Brez	Point(-4.697222222 43.163055555)
Argomedo	Point(-3.765966666 42.982627777)
Higón	Point(-3.909308333 42.942191666)
Quintanaentello	Point(-3.81398 42.982988)
Quintanaentello	Point(-3.813458333 42.982236111)
Juan Fernández	Point(-16.41638889 28.5125)
Pozo Amargo	Point(-5.427667222 37.018428888)
La Jamula	Point(-2.593611111 37.490555555)
Navas de Buitrago	Point(-3.5977 40.9357)
El Estrecho de Fuente Álamo	Point(-1.110618746 37.732596442)
La Pinilla	Point(-1.278401709 37.684407079)
Jola	Point(-7.244180555 39.299583333)
Gomeciego	Point(-6.312588888 41.025786111)
La Casilla	Point(-5.529380555 40.453463888)
Baños de Ledesma	Point(-5.900888888 41.069916666)
Torneros de la Valdería	Point(-6.247572222 42.209216666)
Muro de Ágreda	Point(-1.991798 41.831328)
Montenegro de Ágreda	Point(-2.073637 41.852102)
La Mallona	Point(-2.7182796 41.7146342)
Nódalo	Point(-2.7679 41.686662)
La Mercadera	Point(-2.878096 41.651046)
Fuentemayuel	Point(-2.819796 41.676438)
La Barbolla	Point(-2.74361 41.634377)
La Revilla de Calatañazor	Point(-2.731004 41.647278)
Seso	Point(0.03912383 42.457087)
Ledesma de Soria	Point(-2.211417 41.594817)
Hinojosa de la Sierra	Point(-2.605476 41.864527)
La Quiñonería	Point(-2.0375 41.568333333)
Urrez	Point(-3.401902 42.270125)
El Burgo de Osma	Point(-3.06522 41.58619)
El Burgo de Osma	Point(-3.06658 41.587634)
Villa de Berlanga de Duero	Point(-2.861313 41.465195)
Villa de Ágreda	Point(-1.920278 41.855)
Berganciano	Point(-6.23045 41.146747222)
Garcigrande	Point(-5.352358333 40.699597222)
Corrales	Point(-6.94 42.601944444)
Cruces	Point(-7.048611111 42.5975)
Guimil	Point(-6.945833333 42.610833333)
Hermide	Point(-6.957222222 42.636944444)
Moldes	Point(-6.961944444 42.633055555)
Mosteiros	Point(-6.951388888 42.594166666)
Peñacaira	Point(-6.946388888 42.600277777)
Quintela	Point(-7.004722222 42.601388888)
Serviz	Point(-6.944722222 42.614166666)
Vegas do Seo	Point(-6.978055555 42.601944444)
Matamala	Point(-5.597683333 40.786722222)
Ceguilla	Point(-3.806688888 41.064491666)
Cotanillo	Point(-3.801216666 41.065377777)
Martincano	Point(-3.790497222 41.069405555)
Galíndez	Point(-3.813372222 41.080486111)
Rodillo	Point(-5.818763888 40.905963888)
Porteros	Point(-5.841683333 40.992825)
Barregas	Point(-5.754736111 40.989927777)
Moñibas	Point(-4.537241666 40.926308333)
Fresneda de Sepúlveda	Point(-3.669308333 41.256775)
Encinasola de las Minayas	Point(-6.023125 40.965208333)
Saceda	Point(-6.507222222 42.326388888)
Conil	Point(-13.666661111 28.968252777)
El Barrero de Porqueriza	Point(-5.971836111 40.972941666)
Pozos de Mondar	Point(-5.944569444 40.989691666)
Tirados de la Vega	Point(-5.898927777 41.041513888)
Galindo Béjar	Point(-5.511138888 40.702777777)
Miz	Point(-0.099388888 42.342277777)
Santa María de Belsué	Point(-0.350638888 42.315333333)
Gejo de Diego Gómez	Point(-6.006536111 40.983619444)
Porqueriza	Point(-5.966852777 40.973155555)
Tajurmientos	Point(-6.057994444 41.046727777)
Sahelicejos	Point(-6.224908333 41.017538888)
Porteros	Point(-5.526222222 40.779716666)
Sagos	Point(-5.9654 40.943630555)
Quejigal	Point(-5.968988888 40.883527777)
Navas de Quejigal	Point(-5.960247222 40.904336111)
Canillejas	Point(-5.948786111 40.927766666)
Los Espejos de la Reina	Point(-4.900277777 42.990277777)
Villafrea de la Reina	Point(-4.911944444 42.976388888)
Colle	Point(-5.249722222 42.841944444)
Cereceda	Point(-3.470277777 42.780833333)
Grandoso	Point(-5.275555555 42.85)
Llama	Point(-5.251666666 42.837777777)
Remellán	Point(-5.314444444 42.897777777)
Veneros	Point(-5.271111111 42.834166666)
Voznuevo	Point(-5.293888888 42.861388888)
Barrio de Buenos Aires	Point(-5.871944444 42.437222222)
Valle de la Valduerna	Point(-5.994777777 42.319416666)
La Salceda	Point(-3.895280555 41.058188888)
Valle de San Pedro	Point(-3.860322222 41.08495)
Soto de Sepúlveda	Point(-3.568808333 41.269358333)
Santa Cristina del Páramo	Point(-5.725722222 42.311527777)
Soguillo del Páramo	Point(-5.743333333 42.308111111)
Temiño	Point(-3.549761 42.474671)
Robredo Temiño	Point(-3.581151 42.468536)
Nela	Point(-3.657779 42.974839)
Butrera	Point(-3.587188 43.000587)
Barcenillas de Cerezos	Point(-3.592057 43.061124)
Bedón	Point(-3.547343 43.016054)
Cogullos	Point(-3.66049 42.995704)
Cueva de San Bernabé	Point(-3.66636 43.040245)
Ahedo de Linares	Point(-3.655119 43.002784)
Pereda	Point(-3.575117 43.015154)
Quintanilla de Sotoscueva	Point(-3.682792 43.047454)
Quintanilla Valdebodres	Point(-3.671441 42.984038)
Quisicedo	Point(-3.662479 43.04973)
Redondo	Point(-3.607779 43.065072)
Sobrepeña	Point(-3.654294 42.98288)
Sobrepeña	Point(-3.654263888 42.982705555)
Vallejo de Sotoscueva	Point(-3.689564 43.045548)
Villabascones de Sotoscueva	Point(-3.671635 43.04848)
Villamartín de Sotoscueva	Point(-3.685646 43.021062)
Genestacio de la Vega	Point(-5.856111111 42.192277777)
Villarroquel	Point(-5.819166666 42.665833333)
Azadón	Point(-5.809166666 42.630833333)
Requijada	Point(-3.865583333 41.116572222)
Urbanos	Point(-3.887144444 41.082191666)
Chávida	Point(-3.883091666 41.079094444)
San Miguel de Laciana	Point(-6.327777777 42.9425)
Irián	Point(-5.897777777 42.731666666)
Ajuria	Point(-2.6586435 43.25181802)
Astelarra	Point(-2.686417877 43.282604558)
Pozueta	Point(-2.73111232 43.301913738)
Ordorika	Point(-2.677662352 43.272367302)
Oka	Point(-2.685186617 43.26213799)
Muniketa	Point(-2.673134867 43.224296478)
Magunas	Point(-2.637622107 43.228501207)
Landotz	Point(-2.736514892 43.293526909)
Mora de Santa Quiteria	Point(-1.583333333 38.566666666)
Villaescusa la Solana	Point(-3.4205575 42.426114166)
San Telmo	Point(-6.966389 37.795775)
Tabuyuelo de Jamuz	Point(-5.996988888 42.275847222)
Manceras	Point(-6.274480555 41.127622222)
El Groo	Point(-6.23045 41.1094)
Gansinos	Point(-6.211836111 41.003772222)
San Cristóbal de los Mochuelos	Point(-6.306919444 40.966619444)
Castillejo de Evans	Point(-6.213841666 40.927711111)
La Moralita	Point(-6.233716666 40.938919444)
Huelmos de Cañedo	Point(-5.69612678 41.128379018)
Huelmos de San Joaquín	Point(-5.714580555 41.149430555)
Torrejón de Alba	Point(-5.542022222 40.796733333)
Palomares de Alba	Point(-5.527452777 40.852077777)
El Pinar de Alba	Point(-5.548116666 40.853544444)
Guadalén	Point(-3.507222222 38.142222222)
Vallejo de Mena	Point(-3.3036793 43.0843402)
Yetas de Abajo	Point(-2.324205555 38.234916666)
La Rinconada de Tajo	Point(-4.413166666 39.838961111)
Celadilla del Páramo	Point(-5.804361111 42.51875)
Jucainí	Point(-1.8575 37.288888888)
Salgüero de Juarros	Point(-3.490020833 42.293893611)
Villar del Águila	Point(-2.535911111 39.965066666)
Villar del Horno	Point(-2.4525 40.065277777)
Riosequillo	Point(-4.952816666 42.392941666)
Grandes	Point(-6.214741666 40.979986111)
Huelmos	Point(-6.247508333 40.992497222)
Revilla	Point(-6.037294444 42.539347222)
La Costa	Point(3.134166666 39.372222222)
Pántaras	Point(-6.9853 43.1652)
El Villarejo	Point(-1.52742 40.26986)
Vargas	Point(-3.960555555 43.321666666)
Ruidelamas	Point(-6.946944444 42.705833333)
Pedro Izquierdo de Moya	Point(-1.345297222 39.976111111)
Catela	Point(-17.926897222 28.790161111)
Villanueva	Point(-6.9575 42.730555555)
Cuevas del Sil	Point(-6.395716666 42.892913888)
Canillas de Torneros	Point(-5.88145 40.841294444)
Carrascal de Sanchiricones	Point(-5.873769444 40.813555555)
Linejo	Point(-6.003686111 40.830116666)
Cuevas de Reyllo	Point(-1.24598906 37.736944813)
El Beal	Point(-0.84181006 37.63550331)
Lentiscar	Point(-0.852174964 37.698954929)
Los Puertos de Santa Bárbara	Point(-1.14218276 37.63910491)
Carrascalejo de Huebra	Point(-6.054475 40.720494444)
Ardonsillero	Point(-6.137511111 40.868408333)
Quintanilla del Monte en Juarros	Point(-3.418367222 42.398656111)
Los Médicos	Point(-0.98907983 37.67464164)
Hinojosa	Point(-1.924941666 41.033397222)
Malillos de los Oteros	Point(-5.422194444 42.441333333)
Santa Olaja de Eslonza	Point(-5.353591666 42.577986111)
Villarmún	Point(-5.370930555 42.576241666)
Villarratel	Point(-5.344708333 42.602133333)
La Alfoquía	Point(-2.041111111 37.354722222)
La Estación	Point(-5.6149909 41.534588)
La Encomienda	Point(-5.809083333 41.709472222)
Matamala	Point(-5.469667 40.868885)
La Mata del Páramo	Point(-5.738388888 42.423038888)
Turienzo de los Caballeros	Point(-6.265638888 42.450630555)
Villarmarín	Point(-6.950833333 42.7125)
Barrosas	Point(-7.028505555 42.605575)
Media Legua	Point(-0.913888888 38.095833333)
Villarrodrigo de Ordás	Point(-5.822497222 42.713625)
San Martín de Las Ollas	Point(-3.748011111 42.990130555)
El Plan	Point(-1.02380909 37.64812989)
Palazuelo-Empalme	Point(-6.099033333 39.938069444)
Navalón	Point(-2.292378 40.1226528)
Barrillos	Point(-5.404736111 42.721833333)
Primajas	Point(-5.191308333 42.929644444)
Tiagua	Point(-13.632 29.055)
Mozaga	Point(-13.613611111 29.021666666)
Acusa Seca	Point(-15.679443888 28.006666944)
Melenara	Point(-15.3751 27.987699999)
Loranquillo	Point(-3.200079444 42.481042777)
San Medel	Point(-5.758011111 40.490419444)
Campo de Liebre	Point(-7.001111111 42.626666666)
Kurtzero	Point(-2.689660074 43.289546793)
Untxigoiti	Point(-2.703350763 43.300133162)
Zugastieta	Point(-2.689912703 43.254527723)
Zabala	Point(-2.687446304 43.278250524)
El Almarchal	Point(-5.805463 36.144525)
Redipollos	Point(-5.256041666 43.001897222)
Villalvilla de Montejo	Point(-3.6711 41.4975)
Baroja	Point(-2.6886 42.664)
Oyón	Point(-2.4305 42.507)
Sanvitul	Point(-7.004166666 42.556944444)
Villarrubín	Point(-7.022222222 42.571111111)
San Feliz de las Lavanderas	Point(-5.97765 42.685825)
Arienza	Point(-6.009777777 42.817708333)
Curueña	Point(-5.983733333 42.835475)
Robledo de Omaña	Point(-5.99335 42.812047222)
Abano	Point(-6.036394444 42.648344444)
Castro de Cepeda	Point(-6.027819444 42.657752777)
Donillas	Point(-6.0618 42.636375)
Morriondo	Point(-5.966277777 42.6428)
Palaciosmil	Point(-6.062438888 42.665377777)
Villameca	Point(-6.076755555 42.640877777)
Otero de Escarpizo	Point(-6.060438888 42.516197222)
Anúcita	Point(-2.8958 42.7997)
Mataluenga	Point(-5.833055555 42.676111111)
Salvatierra	Point(-2.3971 42.8535)
Pedregal	Point(-5.843888888 42.670277777)
San Martín de la Falamosa	Point(-5.879166666 42.696388888)
Matalavilla	Point(-6.427777777 42.847222222)
Salientes	Point(-6.312777777 42.848888888)
Villamizar	Point(-5.130358333 42.530502777)
Valseco	Point(-6.387222222 42.838055555)
Villarino del Sil	Point(-6.360833333 42.909444444)
Cueto	Point(-6.655011111 42.633375)
Pobladura de Luna	Point(-5.928538888 42.919113888)
Sardonedo	Point(-5.8452 42.5343)
Narvaja	Point(-2.4133 42.907)
Villacintor	Point(-5.160011111 42.492258333)
Morales del Arcediano	Point(-6.097605555 42.420794444)
Piedralba	Point(-6.072275 42.42455)
Rabanal de Luna	Point(-5.971036111 42.9336)
Cañizal de Rueda	Point(-5.353711111 42.628125)
Alcaidón	Point(-5.878533333 42.340258333)
Armellada	Point(-5.861366666 42.551388888)
Fojedo del Páramo	Point(-5.740261111 42.501861111)
Palacios de Jamuz	Point(-6.076544444 42.250963888)
Quintanilla de Flórez	Point(-6.102486111 42.254633333)
Torneros de Jamuz	Point(-6.146688888 42.272608333)
Viego	Point(-5.180663888 42.9437)
Castrillo de Cepeda	Point(-6.020905555 42.58415)
Cogorderos	Point(-6.028544444 42.543563888)
Quintana de Fon	Point(-6.036138888 42.530566666)
Fresno de la Valduerna	Point(-6.009811111 42.333280555)
Posada de la Valduerna	Point(-6.020625 42.308594444)
Redelga de la Valduerna	Point(-5.964236111 42.313386111)
Sotillo de Cea	Point(-4.973705555 42.430947222)
Villalebrín	Point(-4.981258333 42.394336111)
Palazuelo de Órbigo	Point(-5.880894444 42.525855555)
Villarino	Point(-6.530675 42.255808333)
Gujuli	Point(-2.9178 42.9744)
Apreguíndana	Point(-2.94405 42.97299)
Unzá	Point(-2.954 42.9757)
Lagunas de Somoza	Point(-6.192125 42.381325)
Val de San Román	Point(-6.142902777 42.428983333)
Candanedo de Boñar	Point(-5.339891666 42.802588888)
La Devesa de Boñar	Point(-5.300216666 42.822341666)
Llamera	Point(-5.346630555 42.84)
Palazuelo de Boñar	Point(-5.332174 42.83513)
La Losilla y San Adrián	Point(-5.314527777 42.836733333)
Tolibia de Abajo	Point(-5.403536111 42.966111111)
Tolibia de Arriba	Point(-5.38225 42.972516666)
Valdeteja	Point(-5.426322222 42.928352777)
Valverde de Curueño	Point(-5.440572222 42.943463888)
Villaverde de la Cuerna	Point(-5.393408333 43.002277777)
San Miguel de Escalada	Point(-5.314175 42.562327777)
Cerezal de la Guzpeña	Point(-5.005277777 42.778333333)
Isoba	Point(-5.325944444 43.055633333)
Horcadas	Point(-5.04485 42.941791666)
Llama de la Guzpeña	Point(-5.038561111 42.771816666)
Robledo de la Guzpeña	Point(-5.026416666 42.797897222)
Guisatecha	Point(-6.008105555 42.785630555)
Manzaneda de Omaña	Point(-6.047394444 42.819580555)
Oterico	Point(-5.923519444 42.775952777)
Socil	Point(-5.961755555 42.796566666)
Valbueno	Point(-6.080247222 42.80365)
Villadepán	Point(-6.084022222 42.814952777)
Villar de Omaña	Point(-6.092777777 42.793163888)
Villarín de Riello	Point(-5.986088888 42.806452777)
Caldevilla de Valdeón	Point(-4.937969444 43.141766666)
Barrio de Nuestra Señora	Point(-5.378666666 42.708411111)
Devesa de Curueño	Point(-5.370683333 42.701747222)
Gallegos de Curueño	Point(-5.405755555 42.736838888)
Carrizal	Point(-4.9832 42.775008333)
Cegoñal	Point(-4.940286111 42.786786111)
La Espina	Point(-4.906425 42.787827777)
Ferreras del Puerto	Point(-5.053819444 42.864152777)
La Mata de Monteagudo	Point(-5.047122222 42.838188888)
Las Muñecas	Point(-5.027855555 42.852552777)
El Otero de Valdetuéjar	Point(-5.016911111 42.830211111)
La Red de Valdetuéjar	Point(-5.026652777 42.870547222)
Renedo de Valdetuéjar	Point(-5.000302777 42.813372222)
San Martín de Valdetuéjar	Point(-4.993263888 42.8089)
La Sota de Valderrueda	Point(-4.951463888 42.824263888)
Soto de Valderrueda	Point(-4.952130555 42.801422222)
Villacorta	Point(-4.939686111 42.807216666)
Santas Masas	Point(0.571301 42.190126)
Llamas de Rueda	Point(-5.139444444 42.630555555)
Palacios de Rueda	Point(-5.156388888 42.693333333)
San Cipriano de Rueda	Point(-5.189722222 42.64)
Vega de Monasterio	Point(-5.1825 42.671388888)
Villapadierna	Point(-5.152777777 42.707222222)
Cubillinos	Point(-6.563888888 42.64)
Posadina	Point(-6.560833333 42.632777777)
Robledo de Losada	Point(-6.542777777 42.284166666)
Santa Eulalia de Cabrera	Point(-6.585833333 42.253055555)
Coscojuela de Fantova	Point(0.169308333 42.1421)
Venta de Cárdenas	Point(-3.496313888 38.414791666)
